Date,League,Home,Away,Goals_H_HT,Goals_A_HT,Goals_H,Goals_A,Goals_Min_H,Goals_Min_A,Time,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay
2024-07-10,SOUTH KOREA - K LEAGUE 1,Jeonbuk,Jeju Utd,1.0,1.0,2,1,"[3, 70]",[1],07:30:00,2.3,2.34,3.35,3.4,3.65,3.75,2.08,2.2,1.83,1.93,1.72,1.77,2.3,2.4,14.5,16.0,13.0,14.5,20.0,26.0,46.0,60.0,10.0,11.5,7.6,8.4,12.5,14.0,28.0,36.0,14.0,15.5,10.0,11.5,15.0,17.0,27.0,44.0,27.0,34.0,20.0,24.0,29.0,38.0,44.0,85.0,13.5,17.5,24.0,32.0,15.0,980.0
2024-07-10,SOUTH KOREA - K LEAGUE 1,Pohang,Gangwon,0.0,0.0,2,0,"[51, 76]",[],07:30:00,1.98,2.04,4.1,4.5,3.65,3.85,1.97,2.08,1.94,2.04,1.76,1.87,2.14,2.32,13.0,15.0,15.0,17.5,24.0,32.0,44.0,95.0,8.8,9.8,7.6,8.6,15.0,18.0,27.0,60.0,10.5,12.0,9.4,11.5,17.0,20.0,29.0,65.0,19.5,23.0,18.0,22.0,32.0,40.0,38.0,110.0,11.0,14.0,28.0,60.0,100.0,980.0
2024-07-10,SOUTH KOREA - K LEAGUE 1,Seoul,Daejeon,0.0,1.0,2,1,"[61, 66]",[7],07:30:00,1.84,1.88,4.8,5.1,3.7,3.9,1.91,2.0,2.0,2.1,1.91,1.96,2.04,2.1,12.0,13.5,16.0,17.0,32.0,36.0,75.0,120.0,8.0,8.8,7.8,8.4,17.0,19.0,50.0,65.0,10.0,11.0,9.4,10.5,18.5,23.0,50.0,75.0,18.0,21.0,18.0,21.0,32.0,38.0,70.0,120.0,11.5,13.5,34.0,75.0,15.5,1000.0
2024-07-10,SOUTH KOREA - K LEAGUE 1,Ulsan HD,Gwangju FC,0.0,0.0,0,1,[],[67],07:30:00,1.96,2.02,4.1,4.3,3.75,3.9,2.1,2.16,1.86,1.91,1.78,1.82,2.22,2.28,14.5,15.5,15.0,17.0,27.0,32.0,65.0,980.0,9.6,10.0,8.0,8.6,15.0,17.5,40.0,48.0,11.5,13.0,9.6,10.5,16.0,17.5,46.0,55.0,20.0,23.0,18.0,20.0,30.0,34.0,50.0,90.0,11.0,13.0,38.0,55.0,100.0,980.0
2024-07-10,FINLAND - YKKONEN,Vaajakoski,KuPS Akatemia,1.0,1.0,2,2,"[34, 73]","[22, 59]",12:30:00,3.05,3.45,2.2,2.44,3.6,4.2,2.1,2.42,1.7,1.91,1.61,1.76,2.3,2.62,13.0,980.0,9.4,14.5,12.0,980.0,5.0,980.0,11.5,980.0,7.4,980.0,8.4,980.0,4.7,980.0,19.5,980.0,11.0,980.0,13.0,980.0,4.8,980.0,4.9,980.0,4.9,980.0,5.1,980.0,5.1,980.0,4.5,980.0,4.0,980.0,5.2,1000.0
2024-07-10,BRAZIL - SERIE A,Gremio,Cruzeiro,0.0,2.0,0,2,[],"[15, 17]",18:30:00,2.54,2.56,3.2,3.25,3.3,3.35,1.67,1.69,2.44,2.5,2.04,2.12,1.89,1.96,9.4,9.6,9.6,10.0,18.5,20.0,50.0,60.0,8.2,8.6,6.8,7.2,13.0,13.5,40.0,42.0,14.5,15.5,11.0,12.0,19.5,21.0,60.0,65.0,34.0,42.0,30.0,32.0,50.0,55.0,100.0,140.0,29.0,32.0,46.0,50.0,140.0,1000.0
2024-07-10,BRAZIL - SERIE A,Athletico-PR,Bahia,0.0,2.0,1,3,[61],"[10, 16, 78]",19:00:00,2.26,2.28,3.6,3.7,3.45,3.5,1.86,1.87,2.14,2.16,1.89,1.95,2.06,2.12,11.5,12.5,11.5,12.5,21.0,24.0,60.0,70.0,8.4,9.0,7.2,7.4,13.5,15.0,38.0,44.0,12.0,13.5,10.5,11.0,18.0,19.0,50.0,60.0,28.0,30.0,23.0,26.0,38.0,44.0,95.0,120.0,19.0,20.0,42.0,48.0,110.0,1000.0
2024-07-10,BRAZIL - SERIE A,Vasco,Corinthians,0.0,0.0,2,0,"[55, 90]",[],19:00:00,2.24,2.26,3.95,4.0,3.3,3.35,1.72,1.73,2.38,2.4,2.02,2.1,1.91,1.97,10.0,10.5,11.5,12.5,23.0,25.0,65.0,80.0,7.6,8.0,7.0,7.2,15.0,16.0,50.0,55.0,11.5,12.5,10.0,11.0,20.0,21.0,60.0,75.0,25.0,28.0,25.0,26.0,42.0,46.0,100.0,140.0,21.0,23.0,32.0,65.0,32.0,1000.0
2024-07-11,EGYPT - PREMIER LEAGUE,El Gaish,Zamalek,0.0,1.0,1,2,[69],"[43, 54]",15:00:00,5.9,6.8,1.64,1.72,3.75,4.1,1.74,1.93,2.06,2.36,2.1,2.36,1.73,1.9,10.0,980.0,4.0,7.6,3.3,9.4,3.7,980.0,14.0,980.0,7.6,14.0,8.8,11.5,3.9,980.0,4.3,980.0,6.4,980.0,4.1,980.0,4.3,980.0,4.3,980.0,7.8,1000.0,8.0,1000.0,4.6,980.0,4.2,980.0,3.45,13.0,4.7,1000.0
2024-07-11,BRAZIL - SERIE A,Palmeiras,Atletico GO,1.0,1.0,3,1,"[6, 52, 53]",[9],19:30:00,1.42,1.43,10.0,10.5,4.9,5.0,2.02,2.04,1.97,1.98,2.22,2.34,1.75,1.81,15.0,15.5,26.0,29.0,80.0,90.0,110.0,400.0,6.8,7.0,10.0,11.0,34.0,38.0,100.0,180.0,7.2,7.4,9.6,9.8,30.0,34.0,100.0,170.0,10.5,11.5,15.0,16.0,40.0,42.0,110.0,210.0,6.6,7.4,50.0,270.0,140.0,1000.0
2024-07-11,BRAZIL - SERIE A,Criciuma,Fluminense,0.0,0.0,1,1,[54],[90],20:00:00,2.06,2.08,4.2,4.3,3.5,3.55,1.67,1.69,2.44,2.48,2.1,2.14,1.87,1.91,9.8,10.5,11.5,12.5,27.0,29.0,90.0,100.0,7.0,7.4,7.0,7.4,16.5,18.0,60.0,65.0,10.5,11.5,10.0,10.5,21.0,23.0,70.0,85.0,23.0,25.0,24.0,26.0,46.0,50.0,100.0,160.0,20.0,22.0,50.0,1000.0,120.0,1000.0
2024-07-11,BRAZIL - SERIE A,Flamengo RJ,Fortaleza,1.0,1.0,1,2,[39],"[11, 63]",20:00:00,1.68,1.69,6.0,6.2,4.1,4.2,1.93,1.95,2.04,2.08,2.0,2.08,1.93,2.0,13.0,13.5,18.0,19.0,44.0,46.0,100.0,170.0,7.4,7.8,8.2,8.8,21.0,24.0,80.0,95.0,8.8,9.2,9.6,9.8,21.0,23.0,80.0,95.0,15.0,16.0,17.0,18.0,34.0,40.0,100.0,140.0,10.0,11.0,95.0,110.0,30.0,1000.0
2024-07-11,BRAZIL - SERIE A,Atletico-MG,Sao Paulo,2.0,1.0,2,1,"[13, 45]",[19],21:30:00,2.64,2.66,3.2,3.3,3.15,3.2,1.58,1.61,2.62,2.74,2.14,2.22,1.82,1.88,8.2,8.6,8.6,9.2,18.0,19.0,50.0,60.0,7.4,8.0,6.8,7.2,13.5,14.5,44.0,50.0,13.5,14.5,12.0,13.0,21.0,23.0,65.0,75.0,36.0,40.0,32.0,36.0,55.0,65.0,100.0,190.0,36.0,42.0,50.0,60.0,27.0,1000.0
2024-07-11,BRAZIL - SERIE A,Vitoria,Botafogo RJ,0.0,0.0,0,1,[],[62],21:30:00,3.1,3.2,2.74,2.78,3.1,3.2,1.57,1.6,2.66,2.76,2.14,2.22,1.83,1.88,8.2,8.8,7.8,8.2,14.5,15.5,38.0,42.0,8.4,9.0,6.6,7.0,12.0,13.0,34.0,38.0,17.0,18.0,13.5,14.5,22.0,23.0,50.0,65.0,50.0,55.0,40.0,46.0,60.0,70.0,44.0,180.0,50.0,65.0,36.0,42.0,28.0,1000.0
2024-07-12,EGYPT - PREMIER LEAGUE,Al Ahly,Pyramids,1.0,1.0,3,2,"[17, 63, 86]","[25, 51]",15:00:00,2.24,2.3,3.75,3.9,3.3,3.35,1.96,1.98,2.0,2.04,1.8,1.85,2.18,2.26,12.0,13.0,13.0,15.0,23.0,27.0,46.0,70.0,9.2,10.5,7.0,7.6,13.5,15.0,36.0,44.0,12.5,14.0,10.0,11.0,16.5,17.5,46.0,55.0,25.0,28.0,21.0,24.0,34.0,38.0,65.0,95.0,16.0,17.5,40.0,1000.0,13.5,1000.0
